Method,Segment_Type,Segment_Name,Count,Coverage,Coverage_Error,Avg_Width
Conformal,store_id,CA_1,560,0.8892857142857142,0.010714285714285787,3.4308509412842145
Quantile,store_id,CA_1,560,0.9339285714285714,0.03392857142857142,3.499573564406015
Conformal,state_id,CA,560,0.8892857142857142,0.010714285714285787,3.4308509412842145
Quantile,state_id,CA,560,0.9339285714285714,0.03392857142857142,3.499573564406015
Conformal,cat_id,FOODS,560,0.8892857142857142,0.010714285714285787,3.4308509412842145
Quantile,cat_id,FOODS,560,0.9339285714285714,0.03392857142857142,3.499573564406015
Conformal,dept_id,FOODS_1,560,0.8892857142857142,0.010714285714285787,3.4308509412842145
Quantile,dept_id,FOODS_1,560,0.9339285714285714,0.03392857142857142,3.499573564406015
